"source","target","weight"
"1-May","Greece",6
"1-May","Greenland",1
"1-May","International",2
"1-May","United States",1
"11-Sep","Great Britain",1
"11-Sep","New Zealand",1
"11-Sep","United States",2
"14 K Triad","China",4
"14 March Coalition","Lebanon",1
"14th of December Command","Australia",1
"14th of December Command","Chile",1
"14th of December Command","United States",1
"15-May","Greece",1
"15th of September Liberation Legion","Costa Rica",1
"16 January Organization for the Liberation of Tripoli","Lebanon",2
"16 January Organization for the Liberation of Tripoli","Syria",22
"1920 Revolution Brigades","United Arab Emirates",2
"19th of July Christian Resistance Brigade","Nicaragua",1
"1st of May Group","Great Britain",1
"1st of May Group","Spain",3
"2 April Group","Great Britain",5
"2 April Group","United States",1
"20 December Movement (M-20)","Panama",12
"20 December Movement (M-20)","United States",4
"22-Jan","France",2
"22-May-48","Martinique",1
"23 May Democratic Alliance (Algeria)","Mali",1
"23 May Democratic Alliance (Algeria)","Somalia",1
"23 May Democratic Alliance (Algeria)","Switzerland",1
"23rd of September Communist League","Belgium",2
"23rd of September Communist League","Mexico",35
"23rd of September Communist League","Spain",1
"23rd of September Communist League","United States",5
"28 February Armed Group","Spain",1
"28 May Armenian Organization","Turkey",2
"28s","South Africa",1
"28th of December Group","Spain",2
"2nd of June Movement","France",1
"2nd of June Movement","Germany",10
"2nd of June Movement","Great Britain",1
"2nd of June Movement","Israel",1
"2nd of June Movement","West Germany (FRG)",1
"31 January People's Front (FP-31)","Brazil",1
"31 January People's Front (FP-31)","Guatemala",15
"31 January People's Front (FP-31)","Honduras",1
"313 Brigade (Syria)","Lebanon",3
"4 August National Organization","United States",2
"7 April Libyan Organization","Libya",2
"7 April Libyan Organization","United States",1
"9 May People's Liberation Force","Honduras",4
"9-Feb","Lebanon",2
"9-Feb","Syria",19
"A Resistance Group","United States",1
"A'chik Matgrik Elite Force (AMEF)","India",6
"Aba Cheali Group","Thailand",1
"Abbala extremists","Sudan",4
"Abd al-Krim Commandos","Spain",2
"Abdul Ghani Kikli Militia","Libya",1
"Abdul Qader Husseini Battalions of the Free Palestine movement","Syria",1
"Abdullah Azzam Brigades","International",1
"Abdullah Azzam Brigades","Iran",4
"Abdullah Azzam Brigades","Israel",4
"Abdullah Azzam Brigades","Japan",1
"Abdullah Azzam Brigades","Lebanon",5
"Abdullah Azzam Brigades","Multinational",1
"Abdullah Azzam Brigades","Pakistan",6
"Abdullah Azzam Brigades","United States",2
"Abida Tribe","Italy",1
"Abida Tribe","Switzerland",1
"Abida Tribe","Yemen",1
"Abkhazian guerrillas","Georgia",2
"Abkhazian Separatists","Georgia",4
"Abkhazian Separatists","Russia",1
"Abstentionist Brigades","Colombia",2
"Abu Amarah Battalion","Syria",1
"Abu Bakr Unis Jabr Brigade","Libya",1
"Abu Hafs al-Masri Brigades","Great Britain",4
"Abu Hafs al-Masri Brigades","Iraq",1
"Abu Hafs al-Masri Brigades","Spain",6
"Abu Hassan","Israel",1
"Abu Jaafar al-Mansur Brigades","Iraq",1
"Abu Musa Group","Israel",1
"Abu Nidal Organization (ANO)","Austria",1
"Abu Nidal Organization (ANO)","Belgium",1
"Abu Nidal Organization (ANO)","Egypt",2
"Abu Nidal Organization (ANO)","France",2
"Abu Nidal Organization (ANO)","Greece",1
"Abu Nidal Organization (ANO)","International",1
"Abu Nidal Organization (ANO)","Iraq",1
"Abu Nidal Organization (ANO)","Israel",9
"Abu Nidal Organization (ANO)","Jordan",5
"Abu Nidal Organization (ANO)","Kuwait",1
"Abu Nidal Organization (ANO)","Lebanon",3
"Abu Nidal Organization (ANO)","Spain",1
"Abu Nidal Organization (ANO)","Switzerland",2
"Abu Nidal Organization (ANO)","Syria",3
"Abu Nidal Organization (ANO)","United Arab Emirates",2
"Abu Nidal Organization (ANO)","United States",2
"Abu Nidal Organization (ANO)","West Bank and Gaza Strip",14
"Abu Obaida bin Jarrah Brigade","Libya",5
"Abu Salim Martyr's Brigade","Libya",1
"Abu Sayyaf Group (ASG)","Belgium",1
"Abu Sayyaf Group (ASG)","Canada",1
"Abu Sayyaf Group (ASG)","China",8
"Abu Sayyaf Group (ASG)","France",1
"Abu Sayyaf Group (ASG)","Germany",4
"Abu Sayyaf Group (ASG)","Indonesia",10
"Abu Sayyaf Group (ASG)","International",1
"Abu Sayyaf Group (ASG)","Italy",1
"Abu Sayyaf Group (ASG)","Japan",4
"Abu Sayyaf Group (ASG)","Jordan",1
"Abu Sayyaf Group (ASG)","Malaysia",9
"Abu Sayyaf Group (ASG)","Multinational",3
"Abu Sayyaf Group (ASG)","Netherlands",1
"Abu Sayyaf Group (ASG)","Pakistan",2
"Abu Sayyaf Group (ASG)","Philippines",413
"Abu Sayyaf Group (ASG)","South Korea",2
"Abu Sayyaf Group (ASG)","Sri Lanka",1
"Abu Sayyaf Group (ASG)","Taiwan",1
"Abu Sayyaf Group (ASG)","United States",4
"Abu Sayyaf Group (ASG)","Vietnam",1
"Abu Tira (Central Reserve Forces)","Sudan",1
"Aceh Singkil Islamic Care Youth Students Association (PPI)","Indonesia",3
"Achik Matgrik Army (AMA)","India",1
"Achik National Cooperative Army (ANCA)","India",4
"Achik National Liberation Army (ANLA)","India",4
"Achik National Volunteer Council (ANVC)","India",1
"Achik National Volunteer Council-B (ANVC-B)","India",9
"Achik Songna An'pachakgipa Kotok (ASAK)","India",15
"Achik Tiger Force","India",1
"Achwan-I-Mushbani","Israel",1
"Actiefront Nationalistisch Nederland","Netherlands",2
"Action Directe","France",44
"Action Directe","International",1
"Action Directe","Israel",3
"Action Directe","Poland",1
"Action Directe","Soviet Union",1
"Action Directe","United States",5
"Action Front for the Liberation of the Baltic Countries","France",1
"Action Front for the Liberation of the Baltic Countries","International",1
"Action Front Nationalist Librium","Turkey",1
"Action Group for Communism","Argentina",1
"Action Group for the Destruction of the Police State","Germany",1
"Action Squad","United States",1
"Active Espirit de Corps of the Argentina Army","Argentina",1
"Activists","Bangladesh",4
"Adan Abyan Islamic Army (AAIA)","Yemen",2
"Adan-Abyan Province of the Islamic State","International",3
"Adan-Abyan Province of the Islamic State","Yemen",40
"Adivasi Cobra Militants of Assam (ACMA)","India",1
"Adivasi National Liberation Army (ANLA)","India",6
"Adivasi People's Army (APA)","India",3
"Afar rebels","France",1
"Afar Revolutionary Democratic Unity Front","Great Britain",1
"Afar Revolutionary Democratic Unity Front","Multinational",1
"AFB","Austria",1
"Afghan Guerrillas","Afghanistan",6
"Afghan Guerrillas","International",1
"Afghan Guerrillas","Pakistan",1
"Afghan Merceneries","India",1
"Afghan Mujahideen","Afghanistan",7
"Afghan Rebels","Afghanistan",1
"Afghan Rebels","Soviet Union",2
"Afghan Revolutionary Front","France",1
"Afghan War Veterans","Russia",1
"Afghans","Pakistan",3
"Afghans","Soviet Union",1
"Africa Marine Commando","Cameroon",3
"Africa Marine Commando","China",1
"Africa Marine Commando","Nigeria",1
"African National Congress (South Africa)","Great Britain",1
"African National Congress (South Africa)","Ireland",1
"African National Congress (South Africa)","Multinational",2
"African National Congress (South Africa)","Namibia",1
"African National Congress (South Africa)","South Africa",592
"African National Congress (South Africa)","Swaziland",2
"African National Congress (South Africa)","United States",4
"African National Congress (South Africa)","Zambia",1
"African-American extremists","United States",1
"Afridi Tribe","Pakistan",1
"Afrikaner Resistance Movement (AWB)","South Africa",5
"Afrikaner Resistance Movement (AWB)","United States",1
"AGEL","Spain",1
"Aghwar ""Fire War"" Group","Libya",1
"Agudat Israel Party","Israel",1
"Agwelek Forces","South Sudan",1
"Ahfad al-Sahaba-Aknaf Bayt al-Maqdis","Israel",2
"Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)","Pakistan",2
"Ahlu-sunah Wal-jamea (Somalia)","Somalia",11
"Ahlu-sunah Wal-jamea (Somalia)","United States",1
"Ahmad Alawi al Muqbili","Saudi Arabia",1
"Ahmad Jibril","West Bank and Gaza Strip",1
"Ahmad Luebaesa Group","Thailand",1
