iyear,Australasia & Oceania,Central America & Caribbean,Central Asia,East Asia,Eastern Europe,Middle East & North Africa,North America,South America,South Asia,Southeast Asia,Sub-Saharan Africa,Western Europe
1970,1,7,0,2,12,29,472,65,1,10,2,49
1971,1,5,0,1,4,55,247,24,0,6,2,125
1972,2,3,0,0,1,35,69,20,1,10,0,355
1973,1,6,0,2,1,19,64,83,1,2,4,290
1974,1,11,0,4,2,42,111,81,2,3,7,316
1975,0,9,0,12,0,44,159,55,4,7,12,438
1976,0,45,0,2,0,55,125,91,4,12,10,579
1977,0,24,0,4,2,211,149,119,2,8,29,771
1978,2,199,0,35,2,128,117,222,2,44,46,729
1979,2,609,0,16,1,455,79,236,34,86,124,1019
1980,7,1070,0,1,1,437,75,319,12,87,58,595
1981,3,1148,0,4,4,312,76,383,23,50,98,484
1982,2,996,0,3,3,291,86,639,20,43,60,402
1983,0,858,0,13,2,334,47,950,63,22,106,475
1984,11,681,0,15,4,268,67,1492,244,46,126,541
1985,7,780,0,10,5,133,44,1040,161,128,141,466
1986,4,393,0,12,3,196,53,1184,273,102,185,455
1987,3,566,0,10,1,202,35,1265,348,163,174,417
1988,12,495,0,24,4,246,30,1041,800,242,337,489
1989,29,503,0,18,16,464,44,1385,926,203,291,444
1990,18,316,0,99,58,494,37,1076,601,348,450,390
1991,10,729,7,29,84,612,40,1322,677,206,271,696
1992,17,212,77,74,91,1193,41,1204,545,279,571,769
1994,14,180,65,34,95,1051,102,373,376,151,433,584
1995,18,168,55,38,68,590,94,255,1051,168,239,337
1996,19,116,33,89,175,373,111,517,737,193,217,476
1997,7,117,49,40,248,550,137,774,490,160,279,349
1998,6,1,25,9,105,247,36,108,136,32,87,141
1999,4,8,24,4,138,316,56,134,225,107,143,236
2000,6,14,21,19,234,272,41,150,356,256,191,253
2001,4,8,18,20,252,362,48,229,385,185,162,234
2002,2,3,6,4,112,327,33,162,332,110,121,120
2003,4,8,7,6,100,295,33,117,353,145,73,121
2004,0,5,8,4,45,488,12,42,369,95,35,59
2005,0,3,11,2,75,883,21,49,602,204,59,100
2006,2,5,6,1,70,1178,15,50,938,272,114,98
2007,1,4,4,0,62,1385,19,47,981,364,302,72
2008,8,0,36,25,209,1535,31,144,1759,513,380,163
2009,1,9,31,8,165,1361,15,159,1944,562,283,181
2010,1,1,9,1,260,1463,24,148,1978,473,331,133
2011,0,1,9,4,198,1663,12,106,2137,354,494,93
2012,0,1,12,4,173,2408,38,133,3799,586,1156,190
2013,1,14,7,14,165,4546,32,179,4607,1188,989,254
2014,9,5,9,42,965,6919,34,282,4992,1080,2308,215
2015,14,1,9,28,684,5956,63,175,4578,1070,1939,335
2016,10,3,16,8,132,6088,72,133,3628,1078,2051,269
